Name,Team,Pos,Games,G,GPG,A,APG,Pts,ptsPG,PLMI,PLMIPG,PIM,PIMPG,SOG,SOGPG,GWG,PPG,PPGPG,PPA,PPAPG,PPP,PPPPG,SHG,SHGPG,SHA,SHAPG,Hits,HitsPG,BS,BSPG
Troy Stecher,VAN,D,78,2,0.025641026,21,0.269230769,23,0.294871795,9,0.115384615,32,0.41025641,105,1.346153846,0,0,0,2,0.025641026,2,0.025641026,1,0.012820513,0,0,91,1.166666667,96,1.230769231
Markus Granlund,EDM,C,77,12,0.155844156,10,0.12987013,22,0.285714286,-4,-0.051948052,20,0.25974026,123,1.597402597,1,2,0.025974026,1,0.012987013,3,0.038961039,0,0,1,0.012987013,46,0.597402597,24,0.311688312
Josh Archibald,EDM,RW,68,12,0.176470588,10,0.147058824,22,0.323529412,1,0.014705882,15,0.220588235,92,1.352941176,1,0,0,0,0,0,0,0,0,1,0.014705882,161,2.367647059,39,0.573529412
Mathew Dumba,MIN,D,32,12,0.375,10,0.3125,22,0.6875,-5,-0.15625,21,0.65625,93,2.90625,1,6,0.1875,6,0.1875,12,0.375,0,0,0,0,60,1.875,43,1.34375
Roope Hintz,DAL,LW,58,9,0.155172414,13,0.224137931,22,0.379310345,-11,-0.189655172,24,0.413793103,99,1.706896552,3,3,0.051724138,3,0.051724138,6,0.103448276,0,0,0,0,87,1.5,36,0.620689655
Nic Dowd,WAS,C,64,8,0.125,14,0.21875,22,0.34375,10,0.15625,20,0.3125,47,0.734375,3,0,0,0,0,0,0,0,0,1,0.015625,97,1.515625,37,0.578125
Jason Dickinson,DAL,C,67,6,0.089552239,16,0.23880597,22,0.328358209,9,0.134328358,23,0.343283582,94,1.402985075,2,0,0,0,0,0,0,0,0,0,0,106,1.582089552,50,0.746268657
Jordie Benn,VAN,D,81,5,0.061728395,17,0.209876543,22,0.271604938,15,0.185185185,39,0.481481481,93,1.148148148,1,0,0,0,0,0,0,0,0,0,0,124,1.530864198,128,1.580246914
Dylan DeMelo,OTT,D,77,4,0.051948052,18,0.233766234,22,0.285714286,-1,-0.012987013,32,0.415584416,109,1.415584416,0,0,0,3,0.038961039,3,0.038961039,0,0,1,0.012987013,121,1.571428571,130,1.688311688
Brenden Dillon,SJ,D,82,1,0.012195122,21,0.256097561,22,0.268292683,19,0.231707317,61,0.743902439,71,0.865853659,0,0,0,0,0,0,0,1,0.012195122,0,0,202,2.463414634,78,0.951219512
